s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,wavelength_μm
-0.0120957737014399,-0.0103491679429168,0.0395703108927622,-0.6720144820856335,0.038790284312758,-0.672035114601207,0.0390886618163473,-0.6713918846005336,-0.0457386381830605,-0.1445071173570284,0.0364701991011126,0.1309803340533956,0.0390886618163473,-0.6713918846005336,0.0364701991011126,0.1309803340533956,-0.0457386381830605,-0.1445071173570284,1.2611
-0.0138842915630793,-0.0078527739788306,-0.0632962729506275,-0.6704907861398764,-0.0640696439745583,-0.6703934905203056,-0.0636612262881263,-0.6697881561147296,-0.0736216274880957,-0.1324727044089707,0.0618795866518457,0.1209954969869214,-0.0636612262881263,-0.6697881561147296,0.0618795866518457,0.1209954969869214,-0.0736216274880957,-0.1324727044089707,1.2612
-0.0151380343442366,-0.0050590807595912,-0.1647764248621018,-0.6532991451068989,-0.1655255837944668,-0.6530864388663256,-0.1650092536120508,-0.6525399425203073,-0.0984895285725944,-0.1151351109949513,0.0847502336996412,0.106148763339704,-0.1650092536120508,-0.6525399425203073,0.0847502336996412,0.106148763339704,-0.0984895285725944,-0.1151351109949513,1.2613
-0.015809571912629,-0.0020800194699302,-0.2624948440323612,-0.6208242524672007,-0.2632028282389794,-0.6205012087669638,-0.2625856001593144,-0.6200354158063046,-0.1193530953348772,-0.0932188933273013,0.1041682523287028,0.0870561863827635,-0.2625856001593144,-0.6200354158063046,0.1041682523287028,0.0870561863827635,-0.1193530953348772,-0.0932188933273013,1.2614
-0.0158749707623324,0.0009643887316028,-0.3541596189094458,-0.5738094227263684,-0.3548104231788586,-0.5733835586647481,-0.3541047090426256,-0.5730198009195061,-0.1353918374494329,-0.0676280716117567,0.1193641861506974,0.0645013809504937,-0.3541047090426256,-0.5730198009195061,0.1193641861506974,0.0645013809504937,-0.1353918374494329,-0.0676280716117567,1.2615
-0.0153359136387328,0.0039524573607088,-0.4376167196116092,-0.5133412371158589,-0.4381956405704038,-0.512822346487729,-0.4374191566589264,-0.5125798055541819,-0.1459856302768484,-0.0394080548545714,0.1297426522697728,0.0394028064471749,-0.4374191566589264,-0.5125798055541819,0.1297426522697728,0.0394028064471749,-0.1459856302768484,-0.0394080548545714,1.2616
-0.0142178550780071,0.006767137201289,-0.5109021667038499,-0.4408246951562204,-0.5113961157090893,-0.440224636514256,-0.5105713005569601,-0.4401189782897897,-0.1507378283174031,-0.0097015896864245,0.1349049633522538,0.0127759308272262,-0.5105713005569601,-0.4401189782897897,0.1349049633522538,0.0127759308272262,-0.1507378283174031,-0.0097015896864245,1.2617
-0.0125672064419879,0.0092991474893249,-0.5722887442078184,-0.3579500602555717,-0.5726865320907912,-0.3572825095902676,-0.5718398461696119,-0.3573246798360913,-0.1494881195867414,0.0202986757327492,0.1346636085621441,-0.0143082938273827,-0.5718398461696119,-0.3573246798360913,0.1346636085621441,-0.0143082938273827,-0.1494881195867414,0.0202986757327492,1.2618
-0.0104505729281518,0.0114495683563882,-0.6203267419107018,-0.2666539859523044,-0.6206193373896923,-0.2659341475024214,-0.6197801737267755,-0.2661290012812388,-0.1423153510782056,0.0493979168729333,0.1290480000172229,-0.0407666707377567,-0.6197801737267755,-0.2661290012812388,0.1290480000172229,-0.0407666707377567,-0.1423153510782056,0.0493979168729333,1.2619
-0.0079534582257711,0.0131347521639643,-0.6538796316084607,-0.1690751768195674,-0.6540603780745704,-0.1683194465732391,-0.6532590740557496,-0.1686647393528055,-0.1295316241936764,0.0764455413126511,0.1183016713499474,-0.0655468723956717,-0.6532590740557496,-0.1686647393528055,0.1183016713499474,-0.0655468723956717,-0.1295316241936764,0.0764455413126511,1.262
-0.0051754813666738,0.0142908077357162,-0.6721532351213436,-0.0675035478797938,-0.6722180091158033,-0.0667291423120073,-0.671483551220909,-0.0672157580122356,-0.1116680083713905,0.1003796403615433,0.1028712945023066,-0.0876691051013512,-0.671483551220909,-0.0672157580122356,0.1028712945023066,-0.0876691051013512,-0.1116680083713905,0.1003796403615433,1.2621
-0.002224824696005,0.0148743320828913,-0.6747154822125353,0.0356756027321324,-0.6746627929658116,0.0364510362228285,-0.6740213666558171,0.0358380281086799,-0.0894515321602872,0.1202678305878596,0.0833876179603303,-0.1062649955729865,-0.6740213666558171,0.0358380281086799,0.0833876179603303,-0.1062649955729865,-0.0894515321602872,0.1202678305878596,1.2622
0.000784472207322,0.0148617781750478,-0.6615063123276502,0.1380390119580704,-0.6613373450190504,0.1387977994483125,-0.6608115202550059,0.1380784529976079,-0.0637744603472556,0.1353418737173945,0.0606386655216915,-0.1206118563384517,-0.6608115202550059,0.1380784529976079,0.0606386655216915,-0.1206118563384517,-0.0637744603472556,0.1353418737173945,1.2623
0.0037343925356818,0.0142510948520494,-0.6328393045701242,0.2371830912477268,-0.6325578968610172,0.2379079482827692,-0.6321652756631124,0.2371069096979139,-0.0356584994094768,0.1450246708789196,0.0355364272354888,-0.1301604156705326,-0.6321652756631124,0.2371069096979139,0.0355364272354888,-0.1301604156705326,-0.0356584994094768,0.1450246708789196,1.2624
0.0065075419317358,0.0130638221792949,-0.5893948166234784,0.3307821851571216,-0.5890073583361942,0.3314566242253812,-0.5887589910349966,0.330601422302584,-0.0062160418340516,0.1489502279098471,0.0090789052767769,-0.1345548080224669,-0.5887589910349966,0.330601422302584,0.0090789052767769,-0.1345548080224669,-0.0062160418340516,0.1489502279098471,1.2625
0.0089927544848549,0.0113441452575608,-0.5322027934929837,0.4166458004867702,-0.5317180586307053,0.4172545060571818,-0.5316183080374025,0.4163729038148597,0.0233912885001945,0.1469772747697355,-0.0176907377879407,-0.1336442791410117,-0.5316183080374025,0.4163729038148597,-0.0176907377879407,-0.1336442791410117,0.0233912885001945,0.1469772747697355,1.2626
0.0110882517748943,0.009156563096402,-0.4626156847384825,0.4927711951810146,-0.4620446130905942,0.4933003589440864,-0.4620925482930699,0.4924187063684304,0.0519969141242011,0.1391956254728296,-0.0437262880437152,-0.1274860862274079,-0.4620925482930699,0.4924187063684304,-0.0437262880437152,-0.1274860862274079,0.0519969141242011,0.1391956254728296,1.2627
